,year,willid,site,site_full,season,treat,height,willid_full,exp,dam,browse,beaver_status,beaver_year
1,2018,324,elk,elk-cc,fall,cc,93,elk-cc-324,1,0,1,no bv,2019
2,2018,327,elk,elk-cc,fall,cc,172,elk-cc-327,1,0,1,no bv,2019
3,2018,3,elk,elk-cc,fall,cc,99,elk-cc-3,1,0,1,no bv,2019
4,2018,333,elk,elk-cc,fall,cc,128,elk-cc-333,1,0,1,no bv,2019
5,2018,336,elk,elk-cc,fall,cc,63,elk-cc-336,1,0,1,no bv,2019
6,2018,339,elk,elk-cc,fall,cc,162,elk-cc-339,1,0,1,no bv,2019
7,2018,342,elk,elk-cc,fall,cc,154,elk-cc-342,1,0,1,no bv,2019
8,2018,345,elk,elk-cc,fall,cc,140,elk-cc-345,1,0,1,no bv,2019
9,2018,348,elk,elk-cc,fall,cc,133,elk-cc-348,1,0,1,no bv,2019
10,2018,351,elk,elk-cc,fall,cc,188,elk-cc-351,1,0,1,no bv,2019
11,2018,354,elk,elk-cc,fall,cc,133,elk-cc-354,1,0,1,no bv,2019
12,2018,357,elk,elk-cc,fall,cc,153,elk-cc-357,1,0,1,no bv,2019
13,2018,3,elk,elk-cc,fall,cc,178,elk-cc-3,1,0,1,no bv,2019
14,2018,363,elk,elk-cc,fall,cc,161,elk-cc-363,1,0,1,no bv,2019
15,2018,365,elk,elk-cc,fall,cc,127,elk-cc-365,1,0,1,no bv,2019
16,2018,369,elk,elk-cc,fall,cc,158,elk-cc-369,1,0,1,no bv,2019
17,2018,519,elk,elk-dc,fall,dc,87,elk-dc-519,1,1,1,no bv,2019
18,2018,522,elk,elk-dc,fall,dc,181,elk-dc-522,1,1,1,no bv,2019
19,2018,525,elk,elk-dc,fall,dc,133,elk-dc-525,1,1,1,no bv,2019
20,2018,528,elk,elk-dc,fall,dc,92,elk-dc-528,1,1,1,no bv,2019
21,2018,531,elk,elk-dc,fall,dc,153,elk-dc-531,1,1,1,no bv,2019
22,2018,534,elk,elk-dc,fall,dc,238,elk-dc-534,1,1,1,no bv,2019
23,2018,5,elk,elk-dc,fall,dc,116,elk-dc-5,1,1,1,no bv,2019
24,2018,543,elk,elk-dc,fall,dc,127,elk-dc-543,1,1,1,no bv,2019
25,2018,546,elk,elk-dc,fall,dc,83,elk-dc-546,1,1,1,no bv,2019
26,2018,552,elk,elk-dc,fall,dc,96,elk-dc-552,1,1,1,no bv,2019
27,2018,555,elk,elk-dc,fall,dc,114,elk-dc-555,1,1,1,no bv,2019
28,2018,559,elk,elk-dc,fall,dc,119,elk-dc-559,1,1,1,no bv,2019
29,2018,55617,elk,elk-dc,fall,dc,114,elk-dc-55617,1,1,1,no bv,2019
30,2018,3,elk,elk-dx,fall,dx,331,elk-dx-3,1,1,0,no bv,2019
31,2018,6,elk,elk-dx,fall,dx,239,elk-dx-6,1,1,0,no bv,2019
32,2018,9,elk,elk-dx,fall,dx,408,elk-dx-9,1,1,0,no bv,2019
33,2018,312,elk,elk-dx,fall,dx,380,elk-dx-312,1,1,0,no bv,2019
34,2018,315,elk,elk-dx,fall,dx,164,elk-dx-315,1,1,0,no bv,2019
35,2018,318,elk,elk-dx,fall,dx,359,elk-dx-318,1,1,0,no bv,2019
36,2018,321,elk,elk-dx,fall,dx,166,elk-dx-321,1,1,0,no bv,2019
37,2018,532,elk,elk-dx,fall,dx,312,elk-dx-532,1,1,0,no bv,2019
38,2018,561,elk,elk-dx,fall,dx,379,elk-dx-561,1,1,0,no bv,2019
39,2018,564,elk,elk-dx,fall,dx,246,elk-dx-564,1,1,0,no bv,2019
40,2018,567,elk,elk-dx,fall,dx,345,elk-dx-567,1,1,0,no bv,2019
41,2018,5,elk,elk-dx,fall,dx,183,elk-dx-5,1,1,0,no bv,2019
42,2018,579,elk,elk-dx,fall,dx,308,elk-dx-579,1,1,0,no bv,2019
43,2018,573,elk,elk-dx,fall,dx,350,elk-dx-573,1,1,0,no bv,2019
44,2018,576,elk,elk-dx,fall,dx,293,elk-dx-576,1,1,0,no bv,2019
45,2018,585,elk,elk-dx,fall,dx,494,elk-dx-585,1,1,0,no bv,2019
46,2018,588,elk,elk-dx,fall,dx,431,elk-dx-588,1,1,0,no bv,2019
47,2018,591,elk,elk-dx,fall,dx,457,elk-dx-591,1,1,0,no bv,2019
48,2018,594,elk,elk-dx,fall,dx,437,elk-dx-594,1,1,0,no bv,2019
49,2018,597,elk,elk-dx,fall,dx,433,elk-dx-597,1,1,0,no bv,2019
50,2018,372,elk,elk-cx,fall,cx,222,elk-cx-372,1,0,0,no bv,2019
51,2018,378,elk,elk-cx,fall,cx,306,elk-cx-378,1,0,0,no bv,2019
52,2018,381,elk,elk-cx,fall,cx,274,elk-cx-381,1,0,0,no bv,2019
53,2018,384,elk,elk-cx,fall,cx,297,elk-cx-384,1,0,0,no bv,2019
54,2018,3,elk,elk-cx,fall,cx,253,elk-cx-3,1,0,0,no bv,2019
55,2018,393,elk,elk-cx,fall,cx,256,elk-cx-393,1,0,0,no bv,2019
56,2018,396,elk,elk-cx,fall,cx,175,elk-cx-396,1,0,0,no bv,2019
57,2018,399,elk,elk-cx,fall,cx,215,elk-cx-399,1,0,0,no bv,2019
58,2018,2,elk,elk-cx,fall,cx,224,elk-cx-2,1,0,0,no bv,2019
59,2018,5,elk,elk-cx,fall,cx,186,elk-cx-5,1,0,0,no bv,2019
60,2018,8,elk,elk-cx,fall,cx,225,elk-cx-8,1,0,0,no bv,2019
61,2018,411,elk,elk-cx,fall,cx,214,elk-cx-411,1,0,0,no bv,2019
62,2018,414,elk,elk-cx,fall,cx,285,elk-cx-414,1,0,0,no bv,2019
63,2018,417,elk,elk-cx,fall,cx,271,elk-cx-417,1,0,0,no bv,2019
64,2018,4,elk,elk-cx,fall,cx,239,elk-cx-4,1,0,0,no bv,2019
65,2018,423,elk,elk-cx,fall,cx,198,elk-cx-423,1,0,0,no bv,2019
66,2018,426,elk,elk-cx,fall,cx,298,elk-cx-426,1,0,0,no bv,2019
67,2018,771,eb2,eb2-cc,fall,cc,86,eb2-cc-771,1,0,1,no bv,2019
68,2018,774,eb2,eb2-cc,fall,cc,114,eb2-cc-774,1,0,1,no bv,2019
69,2018,777,eb2,eb2-cc,fall,cc,93,eb2-cc-777,1,0,1,no bv,2019
70,2018,7,eb2,eb2-cc,fall,cc,88,eb2-cc-7,1,0,1,no bv,2019
71,2018,783,eb2,eb2-cc,fall,cc,117,eb2-cc-783,1,0,1,no bv,2019
72,2018,786,eb2,eb2-cc,fall,cc,190,eb2-cc-786,1,0,1,no bv,2019
73,2018,789,eb2,eb2-cc,fall,cc,89,eb2-cc-789,1,0,1,no bv,2019
74,2018,795,eb2,eb2-cc,fall,cc,104,eb2-cc-795,1,0,1,no bv,2019
75,2018,7,eb2,eb2-cc,fall,cc,84,eb2-cc-7,1,0,1,no bv,2019
76,2018,7,eb2,eb2-cc,fall,cc,120,eb2-cc-7,1,0,1,no bv,2019
