willid_full,year,treat,site_id,exp,willid,fall_height,species_id,fence,dam,browse,n.plants,n.years,min.year,max.year,site_full
eb1-cc-499,2001,cc,eb1,1,499,91,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2001,cc,eb1,1,602,76,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2001,cc,eb1,1,605,81,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2001,cc,eb1,1,608,111,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2001,cc,eb1,1,611,77,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2001,cc,eb1,1,614,85,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2001,cc,eb1,1,617,85,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2001,cc,eb1,1,620,111,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2001,cc,eb1,1,626,61,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2001,cc,eb1,1,629,100,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2001,cc,eb1,1,632,78,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2002,cc,eb1,1,493,66,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2002,cc,eb1,1,499,78,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2002,cc,eb1,1,602,93,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2002,cc,eb1,1,605,92,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2002,cc,eb1,1,608,108,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2002,cc,eb1,1,611,73,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2002,cc,eb1,1,614,90,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2002,cc,eb1,1,617,91,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2002,cc,eb1,1,620,93,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2002,cc,eb1,1,626,46,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2002,cc,eb1,1,629,80,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2002,cc,eb1,1,632,72,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2003,cc,eb1,1,493,55,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2003,cc,eb1,1,499,78,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2003,cc,eb1,1,602,84,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2003,cc,eb1,1,605,94,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2003,cc,eb1,1,608,100,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2003,cc,eb1,1,611,84,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2003,cc,eb1,1,614,96,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2003,cc,eb1,1,617,80,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2003,cc,eb1,1,620,95,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2003,cc,eb1,1,626,33,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2003,cc,eb1,1,629,87,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2003,cc,eb1,1,632,61,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2004,cc,eb1,1,493,57,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2004,cc,eb1,1,499,76,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2004,cc,eb1,1,602,72,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2004,cc,eb1,1,605,83,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2004,cc,eb1,1,608,102,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2004,cc,eb1,1,611,69,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2004,cc,eb1,1,614,76,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2004,cc,eb1,1,617,79,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2004,cc,eb1,1,620,96,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2004,cc,eb1,1,626,39,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2004,cc,eb1,1,629,81,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2004,cc,eb1,1,632,88,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2005,cc,eb1,1,493,52,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2005,cc,eb1,1,499,78,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2005,cc,eb1,1,602,69,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2005,cc,eb1,1,605,86,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2005,cc,eb1,1,608,102,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2005,cc,eb1,1,611,69,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2005,cc,eb1,1,614,103,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2005,cc,eb1,1,617,92,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2005,cc,eb1,1,620,119,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2005,cc,eb1,1,626,41,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-629,2005,cc,eb1,1,629,89,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-632,2005,cc,eb1,1,632,110,boothi,0,0,1,16,16,2001,2016,eb1-cc
eb1-cc-493,2006,cc,eb1,1,493,53,geyer,0,0,1,19,19,2002,2020,eb1-cc
eb1-cc-499,2006,cc,eb1,1,499,87,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-602,2006,cc,eb1,1,602,87,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-605,2006,cc,eb1,1,605,104,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-608,2006,cc,eb1,1,608,75,geyer,0,0,1,17,17,2001,2017,eb1-cc
eb1-cc-611,2006,cc,eb1,1,611,64,geyer,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-614,2006,cc,eb1,1,614,116,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-617,2006,cc,eb1,1,617,123,boothi,0,0,1,19,20,2001,2020,eb1-cc
eb1-cc-620,2006,cc,eb1,1,620,130,boothi,0,0,1,20,20,2001,2020,eb1-cc
eb1-cc-626,2006,cc,eb1,1,626,53,boothi,0,0,1,19,20,2001,2020,eb1-cc
